Iteration,Discriminator Loss,Generator Loss
3860,1.331746,0.769103
3870,1.292070,0.507440
3880,1.214094,0.592167
3890,1.363177,0.589981
3900,1.334520,0.597139
3910,1.253850,0.527238
3920,1.324190,0.614021
3930,1.227509,0.566535
3940,1.259849,0.543519
3950,1.230319,0.533597
3960,1.341088,0.580836
3970,1.266341,0.562278
3980,1.238039,0.532237
3990,1.356833,0.853357
4000,1.342038,0.729742
4010,1.380436,0.593987
4020,1.403125,0.638738
4030,1.264199,0.527109
4040,1.228818,0.543316
4050,1.342799,0.595265
4060,1.231305,0.549235
4070,1.359660,0.747370
4080,1.353006,0.586886
4090,1.250990,0.558533
4100,1.360887,0.598426
4110,1.345958,0.495966
4120,1.348317,0.547868
4130,1.409974,0.621248
4140,1.314236,0.709623
4150,1.416273,0.577767
4160,1.342656,0.643247
4170,1.221139,0.555585
4180,1.348909,0.551681
4190,1.362528,0.551847
4200,1.315803,0.562793
4210,1.392906,0.572725
4220,1.361647,0.619188
4230,1.361846,0.840492
4240,1.301393,0.567978
4250,1.297913,0.576889
4260,1.197090,0.508803
4270,1.374817,0.573460
4280,1.367602,0.843813
4290,1.366998,0.595645
4300,1.297179,0.597438
4310,1.373226,0.577896
4320,1.302812,0.678019
4330,1.343656,0.587803
4340,1.290933,0.577209
4350,1.386055,0.812730
4360,1.210098,0.492528
4370,1.347882,0.613827
4380,1.316677,0.713388
4390,1.353655,0.686628
4400,1.272478,0.523746
4410,1.344869,0.558842
4420,1.399597,0.670246
4430,1.314441,0.600666
4440,1.310220,0.600293
4450,1.338698,0.535951
4460,1.280495,0.549158
4470,1.359956,0.529804
4480,1.174038,0.498225
4490,1.300247,0.815287
4500,1.267053,0.656748
4510,1.360695,0.557873
4520,1.290491,0.541982
4530,1.341338,0.648358
4540,1.344100,0.540003
4550,1.378417,0.564529
4560,1.284661,0.589757
4570,1.356789,0.697961
4580,1.333705,0.767675
4590,1.316009,0.558791
4600,1.333180,0.808807
4610,1.313488,0.563369
4620,1.325127,0.570862
4630,1.397696,0.611700
4640,1.327296,0.699331
4650,1.367365,0.545052
4660,1.286846,0.487713
4670,1.220887,0.524275
4680,1.299720,0.582156
4690,1.311493,0.629091
4700,1.324317,0.567592
4710,1.326290,0.565930
4720,1.362593,0.583821
4730,1.295627,0.620347
4740,1.300664,0.422488
4750,1.248677,0.531404
4760,1.307234,0.760141
4770,1.354781,0.562661
4780,1.288502,0.528609
4790,1.389808,0.566494
4800,1.338600,0.759415
4810,1.391406,0.553301
4820,1.324307,0.558735
4830,1.361466,0.592570
4840,1.359199,0.582072
4850,1.305198,0.529879
4860,1.299801,0.558156
4870,1.341942,0.470307
4880,1.327162,0.550625
4890,1.327798,0.873607
4900,1.318949,0.539242
4910,1.349867,0.562265
4920,1.348067,0.645991
4930,1.300597,0.516719
4940,1.305948,0.512159
4950,1.260079,0.894768
4960,1.260110,0.609883
4970,1.283105,0.774958
4980,1.318007,0.552518
4990,1.275927,0.501707
5000,1.257097,0.520812
5010,1.255434,0.485709
5020,1.329665,0.561970
5030,1.364414,0.600634
5040,1.341745,0.572915
5050,1.391781,0.543422
5060,1.303531,0.501134
5070,1.354187,0.564660
5080,1.345902,0.758656
5090,1.321694,0.769453
5100,1.295614,0.530857
5110,1.350457,0.553846
5120,1.328052,0.575890
5130,1.400696,0.617021
5140,1.212571,0.512369
5150,1.309980,0.547330
5160,1.304399,0.569114
5170,1.240040,0.601616
5180,1.320718,0.548199
5190,1.368848,0.616302
5200,1.325233,0.555633
5210,1.407578,0.587585
5220,1.323563,0.522785
5230,1.318802,0.805275
5240,1.325814,0.589769
5250,1.353538,0.659948
5260,1.313076,0.530615
5270,1.366568,0.558494
5280,1.373556,0.719134
5290,1.299123,0.605619
5300,1.349978,0.553748
5310,1.295786,0.596961
5320,1.356529,0.548274
5330,1.308195,0.481454
5340,1.335233,0.539500
5350,1.382139,0.564169
5360,1.173734,0.504632
5370,1.222095,0.522627
5380,1.304415,0.538985
5390,1.385571,0.569112
5400,1.339283,0.559910
5410,1.288528,0.506644
5420,1.329352,0.551361
5430,1.377704,0.614621
5440,1.351642,0.744973
5450,1.292571,0.608885
5460,1.260363,0.582983
5470,1.336710,0.548532
5480,1.371681,0.569103
5490,1.312900,0.566370
5500,1.331019,0.673871
5510,1.333140,0.691764
5520,1.392434,0.659902
5530,1.350543,0.620805
5540,1.317333,0.612898
5550,1.322968,0.571906
5560,1.341052,0.548675
5570,1.304723,0.583138
5580,1.368365,0.525305
5590,1.217624,0.558927
5600,1.254762,0.569877
5610,1.321212,0.539421
5620,1.303486,0.548078
5630,1.193921,0.510146
5640,1.331855,0.578750
5650,1.336918,0.534771
5660,1.298753,0.537707
5670,1.297444,0.561930
5680,1.292192,0.522730
5690,1.389498,0.549373
5700,1.345617,0.534584
5710,1.330206,0.724260
5720,1.390252,0.700364
5730,1.371867,0.527897
5740,1.239360,0.485036
5750,1.362491,0.816894
5760,1.315688,0.782620
5770,1.380091,0.636574
5780,1.313064,0.631504
5790,1.241939,0.580917
5800,1.352608,0.633798
5810,1.359806,0.549720
5820,1.351596,0.661196
5830,1.345410,0.903255
5840,1.267968,0.559858
5850,1.248824,0.508113
5860,1.291340,0.879007
5870,1.347611,0.555836
5880,1.341161,0.584464
5890,1.351348,0.554129
5900,1.382917,0.580090
5910,1.283768,0.574171
5920,1.209975,0.529200
5930,1.304524,0.561967
5940,1.338939,0.526614
5950,1.368691,0.596956
5960,1.202314,0.544573
5970,1.215438,0.469964
5980,1.341713,0.811239
5990,1.339523,0.753233
6000,1.431790,0.509940
6010,1.282418,0.544377
6020,1.432505,0.574526
6030,1.328245,0.543756
6040,1.383775,0.868560
6050,1.293059,0.757586
6060,1.321532,0.623491
6070,1.289494,0.529961
6080,1.235171,0.580685
6090,1.276000,0.521189
6100,1.349963,0.606296
6110,1.336650,0.550611
6120,1.266728,0.590793
6130,1.216098,0.533957
6140,1.354136,0.642224
6150,1.157547,0.514143
6160,1.324423,0.537774
6170,1.219546,0.556928
6180,1.348364,0.544618
6190,1.293863,0.517381
6200,1.346279,0.535443
6210,1.298815,0.612682
6220,1.397423,0.537531
6230,1.065960,0.389151
6240,1.362458,0.638499
6250,1.143444,0.428878
6260,1.283203,0.553813
6270,1.308610,0.521601
6280,1.412549,0.626223
6290,1.332773,0.510608
6300,1.284836,0.595406
6310,1.348864,0.507817
6320,1.326059,0.625099
6330,1.308953,0.678881
6340,1.299226,0.689865
6350,1.360767,0.578385
6360,1.316997,0.611631
6370,1.237469,0.559200
6380,1.346878,0.620400
6390,1.261336,0.426811
6400,1.340613,0.479430
6410,1.325905,0.561379
6420,1.309184,0.577902
6430,1.141016,0.458768
6440,1.287953,0.545659
6450,1.319105,0.661331
6460,1.357496,0.654827
6470,1.325850,0.493038
6480,1.341350,0.569513
6490,1.312932,0.551860
6500,1.286852,0.562749
6510,1.301014,0.675546
6520,1.352711,0.607862
6530,1.364032,0.573731
6540,1.310443,0.564974
6550,1.234901,0.484862
6560,1.343079,0.642451
6570,1.379143,0.529292
6580,1.373286,0.587767
6590,1.287799,0.540641
6600,1.336936,0.606145
6610,1.332971,0.694756
